date,category,product_name,price_hcm,price_hn,market_price
2026-04-29,rau_cu,Bắp non,29000,30500,30000
2026-04-29,rau_cu,Bắp cải trắng,9000,10000,9000
2026-04-29,rau_cu,Bắp cải tím,18500,20000,18000
2026-04-29,rau_cu,Bí đỏ,9500,10000,9000
2026-04-29,rau_cu,Bí đao,9000,10000,10000
2026-04-29,rau_cu,Dưa leo,14000,15000,15000
2026-04-29,rau_cu,Khổ qua,14500,15500,14000
2026-04-29,rau_cu,Khoai tây,11000,12000,12000
2026-04-29,rau_cu,Cà rốt,12000,12500,11000
2026-04-29,rau_cu,Cà tím,9500,10000,10000
2026-04-29,rau_cu,Cải bó xôi,23000,24000,24000
2026-04-29,rau_cu,Cải ngọt,9000,10000,9000
2026-04-29,rau_cu,Cải thảo,13000,14500,14000
2026-04-29,rau_cu,Cải bẹ xanh,10000,5000,9000
2026-04-29,rau_cu,Cải thìa,14000,16000,15000
2026-04-29,rau_cu,Cần Tây,19000,20500,18000
2026-04-29,rau_cu,Rau muống,8000,9000,8000
2026-04-29,rau_cu,Rau má,11000,12000,10000
2026-04-29,rau_cu,Rau mồng tơi,11500,13500,12000
2026-04-29,rau_cu,Xà Lách gai,17000,18500,17000
2026-04-29,rau_cu,Xà lách xong,11000,12000,11000
2026-04-29,rau_cu,Su su,8500,8000,7000
2026-04-29,rau_cu,Nấm bào ngư,46500,47500,45000
2026-04-29,rau_cu,Nấm đùi gà,49000,51000,48000
2026-04-29,rau_cu,Nấm đông cô,105000,107500,100000
2026-04-29,rau_cu,Cà chua,22000,23000,24000
2026-04-29,rau_cu,Đậu Bắp,19000,20000,18000
2026-04-29,rau_cu,Hành lá,26000,27500,25000
2026-04-29,rau_cu,Hành tây,14500,16000,15000
2026-04-29,rau_cu,Gừng,35500,36500,35000
2026-04-29,rau_cu,Ớt,36500,36500,35000
2026-04-29,rau_cu,Tỏi,23000,24000,22000
2026-04-29,rau_cu,Ngò rí,29000,29000,28000
2026-04-29,rau_cu,Ngò gai,12000,22000,20000
2026-04-29,thit,Thịt ba chỉ,190000,190000,190000
2026-04-29,thit,Sườn non,210000,210000,210000
2026-04-29,thit,Nạc thăn,180000,180000,180000
2026-04-29,thit,Thịt lợn xay,140000,140000,140000
2026-04-29,thit,Thịt nạc vai,180000,180000,180000
2026-04-29,thit,Thịt bò úc,260000,260000,260000
2026-04-29,thit,Gầu bò,240000,240000,240000
2026-04-29,thit,Thăn bò,315000,315000,315000
2026-04-29,thit,Thị bò xay,210000,210000,210000
2026-04-29,thit,Bắp bò loại 1,290000,290000,290000
2026-04-29,thit,Thịt gà,87500,87500,87500
2026-04-29,thit,Chân gà,105000,105000,105000
2026-04-29,thit,Đùi gà công nghiệp,77500,77500,77500
2026-04-29,thit,Gà ta nguyên con,120000,120000,120000
2026-04-29,thuy_hai_san,Cá tra,40500,41000,40000
2026-04-29,thuy_hai_san,Lươn,180000,0,165000
2026-04-29,thuy_hai_san,Cá lóc,41500,43500,42000
2026-04-29,thuy_hai_san,Cá diêu hồng,48500,52500,50000
2026-04-29,thuy_hai_san,Cá Rô phi,29000,30000,28000
2026-04-29,thuy_hai_san,Cá bống,180000,180000,180000
2026-04-29,thuy_hai_san,Cá kèo,125000,125000,125000
2026-04-29,thuy_hai_san,Cá thát lát,87500,87500,87500
2026-04-29,thuy_hai_san,Cá mú,525000,525000,525000
2026-04-29,thuy_hai_san,Cá nục,90000,90000,90000
2026-04-29,thuy_hai_san,Cá chim,162500,162500,162500
2026-04-29,thuy_hai_san,Tôm,135000,135000,135000
2026-04-29,thuy_hai_san,Mực,170000,170000,170000
2026-04-29,thuy_hai_san,Nghêu,27500,27500,27500
2026-04-29,thuy_hai_san,Tôm càng xanh,550000,550000,550000
2026-04-29,thuy_hai_san,Tôm thẻ,125000,125000,125000
2026-04-29,thuy_hai_san,Tôm hùm,1025000,1025000,1025000
2026-04-29,rau_cu,Bắp non,29000,30500,30000
2026-04-29,rau_cu,Bắp cải trắng,9000,10000,9000
2026-04-29,rau_cu,Bắp cải tím,18500,20000,18000
2026-04-29,rau_cu,Bí đỏ,9500,10000,9000
2026-04-29,rau_cu,Bí đao,9000,10000,10000
2026-04-29,rau_cu,Dưa leo,14000,15000,15000
2026-04-29,rau_cu,Khổ qua,14500,15500,14000
2026-04-29,rau_cu,Khoai tây,11000,12000,12000
2026-04-29,rau_cu,Cà rốt,12000,12500,11000
2026-04-29,rau_cu,Cà tím,9500,10000,10000
2026-04-29,rau_cu,Cải bó xôi,23000,24000,24000
2026-04-29,rau_cu,Cải ngọt,9000,10000,9000
2026-04-29,rau_cu,Cải thảo,13000,14500,14000
2026-04-29,rau_cu,Cải bẹ xanh,10000,5000,9000
2026-04-29,rau_cu,Cải thìa,14000,16000,15000
2026-04-29,rau_cu,Cần Tây,19000,20500,18000
2026-04-29,rau_cu,Rau muống,8000,9000,8000
2026-04-29,rau_cu,Rau má,11000,12000,10000
2026-04-29,rau_cu,Rau mồng tơi,11500,13500,12000
2026-04-29,rau_cu,Xà Lách gai,17000,18500,17000
2026-04-29,rau_cu,Xà lách xong,11000,12000,11000
2026-04-29,rau_cu,Su su,8500,8000,7000
2026-04-29,rau_cu,Nấm bào ngư,46500,47500,45000
2026-04-29,rau_cu,Nấm đùi gà,49000,51000,48000
2026-04-29,rau_cu,Nấm đông cô,105000,107500,100000
2026-04-29,rau_cu,Cà chua,22000,23000,24000
2026-04-29,rau_cu,Đậu Bắp,19000,20000,18000
2026-04-29,rau_cu,Hành lá,26000,27500,25000
2026-04-29,rau_cu,Hành tây,14500,16000,15000
2026-04-29,rau_cu,Gừng,35500,36500,35000
2026-04-29,rau_cu,Ớt,36500,36500,35000
2026-04-29,rau_cu,Tỏi,23000,24000,22000
2026-04-29,rau_cu,Ngò rí,29000,29000,28000
2026-04-29,rau_cu,Ngò gai,12000,22000,20000
2026-04-29,thit,Thịt ba chỉ,190000,190000,190000
2026-04-29,thit,Sườn non,210000,210000,210000
2026-04-29,thit,Nạc thăn,180000,180000,180000
2026-04-29,thit,Thịt lợn xay,140000,140000,140000
2026-04-29,thit,Thịt nạc vai,180000,180000,180000
2026-04-29,thit,Thịt bò úc,260000,260000,260000
2026-04-29,thit,Gầu bò,240000,240000,240000
2026-04-29,thit,Thăn bò,315000,315000,315000
2026-04-29,thit,Thị bò xay,210000,210000,210000
2026-04-29,thit,Bắp bò loại 1,290000,290000,290000
2026-04-29,thit,Thịt gà,87500,87500,87500
2026-04-29,thit,Chân gà,105000,105000,105000
2026-04-29,thit,Đùi gà công nghiệp,77500,77500,77500
2026-04-29,thit,Gà ta nguyên con,120000,120000,120000
2026-04-29,thuy_hai_san,Cá tra,40500,41000,40000
2026-04-29,thuy_hai_san,Lươn,180000,0,165000
2026-04-29,thuy_hai_san,Cá lóc,41500,43500,42000
2026-04-29,thuy_hai_san,Cá diêu hồng,48500,52500,50000
2026-04-29,thuy_hai_san,Cá Rô phi,29000,30000,28000
2026-04-29,thuy_hai_san,Cá bống,180000,180000,180000
2026-04-29,thuy_hai_san,Cá kèo,125000,125000,125000
2026-04-29,thuy_hai_san,Cá thát lát,87500,87500,87500
2026-04-29,thuy_hai_san,Cá mú,525000,525000,525000
2026-04-29,thuy_hai_san,Cá nục,90000,90000,90000
2026-04-29,thuy_hai_san,Cá chim,162500,162500,162500
2026-04-29,thuy_hai_san,Tôm,135000,135000,135000
2026-04-29,thuy_hai_san,Mực,170000,170000,170000
2026-04-29,thuy_hai_san,Nghêu,27500,27500,27500
2026-04-29,thuy_hai_san,Tôm càng xanh,550000,550000,550000
2026-04-29,thuy_hai_san,Tôm thẻ,125000,125000,125000
2026-04-29,thuy_hai_san,Tôm hùm,1025000,1025000,1025000
